USER COMMENTS,Tags
Give super users mpore access,Access/Availability Issue
have to re-login every hour or so,Access/Availability Issue
maybe extend the time before it times out.,Access/Availability Issue
more access. ,Access/Availability Issue
"Please roll this out for office as well, this is a great product and truly makes CBRE a market leader. ",Access/Availability Issue
Still would like to see different team access.,Access/Availability Issue
I wish it was also available for retail and office properties.,Access/Availability Issue
"The thing I dislike the most about fmPilot is when I am putting together a larger quote. I have to pay attention to the time and click save every 5-10 minutes. I have had on multiple occasions where ive put together very large bids taking me over 30+ minutes and when i go to save it will like time out and ill loose everything from my quote and have to start over completely. The next thing i dislike is when I invoice a job, we have to wait for pending verification. Even though i have the invoice completed and submitted. I feel like if our invoice is already done, we shouldnt have to go back in again after verification status is complete, just to change the status again for our invoices submittal. When im done with a job, i invoice it and when the store verifies. That should be it, I shouldn't have to go change status again to submit our invoice. I forget about this all the time and it causes us more days waiting to be paid for our work. Or if we already have a signed work order, why do we have to wait up to 3 more days for the store to verify the work is done? If a Manager signed our work order, isn't that already verifying the works been complete? My last complaint would be when i get a work order with a DNE on it. I go out and look at the job to inspect and verify what all is needed to complete the scope. I dont get a MOD to sign the work order at that time, as i have the intent of doing the job. However, their have been times where i complete an inspection and get back to my office. I run the numbers for labor and material, realize i need a DNE increase and submit a quote. My quote doesnt get approved and i invoice for incurred. Then the invoice gets kicked back because i dont have a signed work order, this has happened at least 5-6 times. I dont think i should have to get a signature on a work order when we dont complete the scope thats detailed on the work order. I also shouldnt have to drive back out to a property for a signature, just for the cost of 1 trip charge. We have had to do this before as well and its more of a pain and takes more time to deal with it then what our trip charge is worth. I think a different way to invoice for our incurred trip charges should be available and they shouldn't require a signed work order either. ","Access/Availability Issue, Business Process Needs to Change"
"We were on a phone call with Rick and discussed the many things that the site needed to change. Locating duplicates, being able to share data with people outside of your team, and other things that were discussed in our meeting.","Access/Availability Issue, Data Issue"
 It can be very glitchy and slow at times- Also the client side only works on firefox. ,"Access/Availability Issue, Performance Issue"
The best! We need to promote its use for all product types and make it a differentiator in winning tenant rep business,"Access/Availability Issue, Positive Feedback"
This is all geared towards Industrial and we have office properties too.,"Access/Availability Issue, Usability Issue"
"When I put in an EMERGENCY repair order and, six days later, I still haven't received a service call or even a phone call, I'd say major improvement is needed.",Business Process Doesn't Match
"It would be better if we could contact someone easier when something happens.  Also, The system isn't very user friendly.  It should have more warning pop ups when something is missing or different.  Thank you.",Business Process Doesn't Match
CBRE to dial back the spam calling and emails . Spending more team on admin / emails than in-field monitoring . This will help big time in service ,Business Process Doesn't Match
Clearer communication on status of open work orders. ,Business Process Doesn't Match
Using better vendors that can make the repairs better. Some of the vendors that show up are very sketchy.,Business Process Doesn't Match
It would be nice if we could get better/easier communication in the portal.,Business Process Doesn't Match
Work with the same urgency in trying to get us to take a call as doing the invoicing / approval. When trying to get help we have gone weeks without answers. ,Business Process Doesn't Match
Better response to issues. ,Business Process Doesn't Match
More timely completion of work orders. ,Business Process Doesn't Match
Too much in and out of orders to get something invoiced and processed. ,Business Process Doesn't Match
"Communication, updates, follow up, e-mails etc....",Business Process Doesn't Match
Simply process. Allow vendors to reach out to you. ,Business Process Doesn't Match
"communication with the location is very crucial, especially with response times. ",Business Process Doesn't Match
Communication needs improvement ,Business Process Doesn't Match
Been trying to get a facility added to me for over 4 months. Have been approved on my end but is still not on my company profile. Need IT help that users can call instead of constantly having to call CBRE for them to send e-mail to IT but  IT never calls back to help.,Business Process Doesn't Match
"When trying to contact someone via email through the portal it is takes forever to get a response, if at all. There needs to be better contact information for getting a hold of a responsible party for questions. ",Business Process Doesn't Match
better vendors  / less expensive and local ,Business Process Doesn't Match
"Communication is poor between our station, Fedex facilities maint. CBRE and the contractors. Everyone should be updating the work orders so everyone knows what is going on and updating all and any updated timelines for completion.",Business Process Doesn't Match
"actually come in when we ask you to, and when something is set to a HIGH PRIORITY it is treated as such. It is not acceptable to have to a rodent infestation. Thanks. ",Business Process Doesn't Match
