,Comment,Tag(s),,
Final Role Category,"sometimes it can get confusing, to many fields to fill out to open a work order.",Usability,App Area,
Facilities Manager,always crashes during and throughout the days,Bug,WO,
Facilities Manager,Calling the IVR system makes getting crews clocked in / out quite difficult as the system does not allow enough time to get the web # entered and ends the call.  ,Bug,,
Facilities Manager,Don't have it error out every time we try to create a work order. ,Bug,"WO, Commenting, Integration",
Account Coordinator,Fix client website issues. ,Bug,,
Facilities Manager,fix the glitches that make me have to exit the site and re-enter ,Bug,,
Vendor Admin,fixit 3.0 worked just fine now I can't log onto FMPILOT,Bug,IVR,
Customer Service Rep,"For the past month or so, our techs have been unable to log in and/or out of the IVR. I called to report this and I was told they did not have any other complaints [not sure what that has to do with checking into or correcting a malfunction] It is still not functioning correctly Thank you ",Bug,,
Vendor Admin,Having trouble when inputing quotes. Description doesnt match when printing out.,Bug,,
Facilities Manager,I find myself having to reload the page numerous times in order for it load properly. ,Bug,WO,
Customer Service Rep,"I have access issues.  After a particular company onboarded, I am only able to access 1 of the two accounts.  If I get into 1, the other is locked out,  Even though the credentials are different for each account.",Bug,,
Account Coordinator,If it did not erase everything when the system freezers up. ,Bug,Commenting,
Vendor Admin,It's not property service with my job. This app has a Lotta issues to complete.,Bug,,
Vendor Admin,IVR system doesn't always work.,Bug,,
Facilities Manager,Make it work without issue over all web browsers.  For both sides of the WO.  Please.,Bug,WO,
Vendor Admin,Make the page load fully before opening up on the screen so I can actually see what I'm doing.,Bug,WO,
Site Manager,My address does not populate. I have to make 10+ attempts to change/update the correct address.,Bug,,
Vendor Admin,New UI doesn't always load. Agent have issues putting in work orders too. FXE is a good example.,Bug,,
Customer Service Rep,often jobs are marked completed when they are not,Bug,,
Facilities Manager,photos don't upload  properly with out lines through them - and all emails don't auto generate. ,Bug,,
Facilities Manager,"Pricing is locked in and we do different levels of work that require different pricing. The Estimate to invoice transfer doesn't work most of the time. If you upload an invoice it doesn't recognize it even when we have already added the invoice number where asked, it tells you to upload it again - redundant waste of time. Things sometimes just disappear and then we are forced to do it all over again - wasted time. I am sure there are a few more quirks that I do not remember.",Bug,,
Vendor Admin,"SIRequest bug reporting system not working. Even though we are supposed to launch it from July.   We have a test group at the client's. I receive information from the client that they can't submit a request or log in, I get login errors that we don't know what they mean. I've been getting a different error every time since last week and I can't complete the request every time. Below is a test login from this morning, I supposedly logged in, but I can't send the application",Bug,WO,
,Site defaults to another location in our district. Sometimes the site lags out and I have had to enter work orders multiple times and if we forget to adjust the location after multiple attempts it will default to another location which causes problems for workers and billing. ,Bug,WO,
Operations Manager,Techs have trouble logging in on their phones a lot of the times.  Won't recognize location or will just buffer for long periods of time.   Also sometimes when submitting invoices line items will randomly drop off causing us to reject and resubmit. ,Bug,,
