User_Comments,Feature Request_Enhancement
For On call weekends make it so the person on call only receives P1s and P2s. ,Feature Request/ Enhancement
"The system level tree could be improved. If a ticket is opened on behalf of the client, they have no visibility on it. It seems that the review function does not function properly. The customer receives the email, but when they click on the link it either says it has already been used or doesn't open the review platform.  It would be a more useful tool if the navigation/usage etc. was more practical.",Feature Request/ Enhancement
"As an example, risk management with the Red/Yellow risks doesn't align with the Australian market.",Feature Request/ Enhancement
Pms and scheduling dates are not correct It would be Great if we could create our own Pms. Be able to assign more then one technician to a work order,Feature Request/ Enhancement
3. JDE interconnection: more stable JDE data transfer to avoid delay in invoice processing,Feature Request/ Enhancement
"Add the DM and manager email to the Associated User list.  Thks, Tam SM 2106",Feature Request/ Enhancement
I WOULD LIKE FOR SI7 TO COMMUNICATE MORE WITH COUPA. CHANGES THAT ARE MADE IN SI7 I WOULD LIKE FOR IT TO FLOW TO COUPA,Feature Request/ Enhancement
It could include parts listing,Feature Request/ Enhancement
It will be a great help to save time when you have made an FCR wo and have entered documents so that they are transferred to the SUP wo/Po you make,Feature Request/ Enhancement
"Make a team of Facility managers and technicians (workshop), getter data, and deployments on which way the program can make statistical deployments of tickets (cause, time duration, etc...). PowerBI has the same possibility to constantly take automatic data and transfer it into charts which can be by local area presented. MyVantage is great for keeping KPIs in check, but we need statistics to be proactive and to reduce the time for which we consume in finding the biggest cause of failures for our tickets. The overall system is ok, put have space to be great.   ",Feature Request/ Enhancement
"Options for site, building/floor/area should be consistent throughout all locations for all ticket types. Ie: Male vs. Men's and Female vs. Women's. Both are within the same dropdown.   Would like to see Site or Grounds an option for ALL building/floor location options under each category.  Would like to see Locks (CBRE function, not Security), Konica (repair / ink replacement / paper), and Flooring Repair under Quick Requests  Correct spelling under Quick Requests for Food Service Requst (should be Request)  ",Feature Request/ Enhancement
