User Comments,Feature Request/ Enhancement
I cant see what inside the request writing when I controlling my work section.,NA
For On call weekends make it so the person on call only receives P1s and P2s. ,Feature Request/ Enhancement
"The system level tree could be improved. If a ticket is opened on behalf of the client, they have no visibility on it. It seems that the review function does not function properly. The customer receives the email, but when they click on the link it either says it has already been used or doesn't open the review platform.  It would be a more useful tool if the navigation/usage etc. was more practical.",Feature Request/ Enhancement
"Make the tools more accessible, make training more accessible and consider an SME for each tool to serve as a resource for end-users.",NA
Links not easily accessibly,NA
1. PDA- PJM Advisory - Malaysia is not in the country list. ,NA
Access to many of these tools is restricted to users and thus results in them not being utilized. ,NA
Can be not aligned with how a specific local market operates. ,NA
Here in Vancouver we haven't been told to use any of those tools so I can't comment.,NA
"I have tried to implement CBRE's Project Management Portal tools in projects; however, I have either been denied access (due to price of product) ",NA
"I may be wrong, but a lot of the tools still have not yet been localized and results in the tools not being fully utilized here in Japan.",NA
I primarily use Kahua - the only complaint I have besides ease of access ,NA
I was disappointed to see the estimator tool taken down.,NA
I was reviewing to see what tools are available but would need access to utilize. ,NA
I'm not familiar with the tools and what situations are best for which tools. Do all PJM team members have access? ,NA
"Make tools accessible to LATAM, there is no Kahua implementaion plan for principal projects in LATAM, and most of the tools are US based.",NA
My level of security does not allow for the correct information to be updated for assets or work tasks,NA
"Nothing applies for Canada.  For the ones we use here, they are not made by Project Management people so they don't make sense for us, so no one use them.  The result is that everybody does their own thing and there are no processes or harmony in the delivered work.  Or when someone leaves the company, it is a nightmare to take over their project and find important documents.  It reflects very poorly on CBRE inside and outside the company.",NA
"Office ready is for France, Singapore, Spain and the US so may as well not be in my list ",NA
Some items are unviewable on my end and i believe the parts that are not would be beneficial to my job as a technician.,NA
some of the tools say I am not able to access when I have tried to use others....,NA
tools are great initiatives.  condition to use these tools are less for HK design team.  ,NA
We have not been able to use anything but Kahua in our day to day.  ,NA
PDA  not necessarily setup for local market or speedy input,NA
"As an example, risk management with the Red/Yellow risks doesn't align with the Australian market.",Feature Request/ Enhancement
The management of project construction are not fixed. It's very complicated to put the program to control it. It will be redundant work in some time and it very complicated when need to co-ordinate with contractor.,NA
Do not allow Out of Scope services to be performed on a Regular Land Service work order.  A PM.,NA
Simplify and align with other functional processes,NA
Couple issues I have is that I check my app every morning but we don't get a lot of work orders as often as we should we are lucky if we get 2 a week and the follow up team isn't very helpful once you have questions about quotes of follow ups on workorders however the help desk people are one of the best customer service representatives I've ever had to deal with,NA
"On seasonal work orders.  Once the status moves to ""Closed"", There's no way to tell the Tech if a work order has made it's way through the billing process.  For example:  A PMEX or OOS work order will go to PVINV status.  We can see the the various stages all the way to ""Completed""",NA
"Whilst Quantum has lots of CERM processes where compliance warrants a YES/NO answer - it doesn't register how well the compliance is.  So for example, whilst every technician should have a training plan, CDNA compliance on Quantum is < 50% - we have no real idea how well processes are followed.",NA
"More focused needs to be placed on actually paying the vendors on time, and maybe shifting from the 90 day payment terms to a shorter timeframe. The payment process alone has been hurting our relationships with vendors. ",NA
Pms and scheduling dates are not correct It would be Great if we could create our own Pms. Be able to assign more then one technician to a work order,Feature Request/ Enhancement
3. JDE interconnection: more stable JDE data transfer to avoid delay in invoice processing,Feature Request/ Enhancement
"Add the DM and manager email to the Associated User list.  Thks, Tam SM 2106",Feature Request/ Enhancement
I WOULD LIKE FOR SI7 TO COMMUNICATE MORE WITH COUPA. CHANGES THAT ARE MADE IN SI7 I WOULD LIKE FOR IT TO FLOW TO COUPA,Feature Request/ Enhancement
It could include parts listing,Feature Request/ Enhancement
It will be a great help to save time when you have made an FCR wo and have entered documents so that they are transferred to the SUP wo/Po you make,Feature Request/ Enhancement
"Make a team of Facility managers and technicians (workshop), getter data, and deployments on which way the program can make statistical deployments of tickets (cause, time duration, etc...). PowerBI has the same possibility to constantly take automatic data and transfer it into charts which can be by local area presented. MyVantage is great for keeping KPIs in check, but we need statistics to be proactive and to reduce the time for which we consume in finding the biggest cause of failures for our tickets. The overall system is ok, put have space to be great.   ",Feature Request/ Enhancement
"Options for site, building/floor/area should be consistent throughout all locations for all ticket types. Ie: Male vs. Men's and Female vs. Women's. Both are within the same dropdown.   Would like to see Site or Grounds an option for ALL building/floor location options under each category.  Would like to see Locks (CBRE function, not Security), Konica (repair / ink replacement / paper), and Flooring Repair under Quick Requests  Correct spelling under Quick Requests for Food Service Requst (should be Request)  ",Feature Request/ Enhancement
"Users are locked out frequently requiring assistance in e-mailing service desk for unlocks and submitting new passwords, etc. Then, due to the changes in passwords, they are likely to lock themselves out again. I understand this is largely an ""end-user"" issue, but it is a recurring issue at many sites. Perhaps lowering the threshold for the password would be helpful. A 4-digit pin is easier and more manageable for technicians than intricate password requirements (which inevitably are written down in a handy location so they can remember it thus defeating any security provided by an intricate password).  Streamlining the password / unlock request process. Is it necessary to have to contact support? Could this process not be automated using the technicians e-mail or other two factor authentication? This would eliminate the requirement to e-mail or call support. And theoretically (and I hate to sound like an MBA) but could cut costs for the service center or allow them to refocus their efforts to solving other issues.  Better access to associated PMs and WOs associated with assets and generated PM work orders. For me to look at the past PMs for a monthly generated work order, I have to go to the relevant WO, click on the equipment tab, click the equipment number, click on order history, then organize by date to find the older work orders. This is not intuitive, and with the limited access frontline supervisors and managers have to search, reports, and equipment detail, it is not feasible to search assets and draw relevant information, history, etc.  On-site supervisors and manager don't have adequate control over PM generation and Asset management meaning we have to submit asset changes to our SI7 manager to make relevant changes. This is time consuming and takes the control from the individuals with the knowledge need to be inserted and creating an unnecessary middle step to the process.  Last, if there was a way in which work orders could be generated real-time on a monitor, it could be incredibly helpful. For our sites that used used TMS CMMS system, when a work order was generated it would automatically print the order on the shop printer and we would immediately know that a WO had come in. It also gave us a physical copy to hand to technicians for them to read the relevant details, complete the assigned task, then enter the completion info into CMMS. A similar system, printed or perhaps displayed on a monitor in work areas would allow such real-time acknowledgment of entered orders. ",Feature Request/ Enhancement
Data extraction is not always accurate ,NA
"I only use the iMFM portal, not SI portal. One thing i would like to have improved in iMFM is when creating multiple self-generated completed work orders in a row. I can search the key word for the first one just fine, but when I go to create a second one right after the first, the key word(s) do not show. I then have to close iMFM, log back in, and then create the new self-gen completed work order. It's a bit annoying having to do this process. I feel this is an area where improvement would be appreciated. Thank you.",Feature Request/ Enhancement
"Of all the information captured in a work order, not all data can be exported (i.e. who & when approved a quote; or a work order for payment). For service provider I often hear about the extra clicks to move a work order into the right status (i.e. taking a work order from IN PROGRESS to QUOTE NEEDED).",NA
remember basic personal details somehow. having to enter my cell phone number for each ticket is painful. ,NA
"Some parts of Service Insight can be inproved on,  but the questions you are asking are not the right questions.  Some parts of the app for moble can be improved on.  It makes working in the field/on sight and inputting information difficult and sometimes getting information difficult as well.  ",NA
create several issues with vendors.,NA
dont force changes in the background to the system that impact existing users and the way their data is set up ,NA
Even if the focus is a data repository that is not mutually exclusive with it providing process efficiencies.,NA
"I find the system, especially when coupled with Coupa/MyBuy to be very bulky and confusing.  I work with it since it's what we have, but would prefer something more streamlined.",NA
"I need to get history on equipment and have no way without asset information in FMP Filters could be more useful, such as ""not Including"" ",NA
improved choices for coding of work orders,NA
"It would be nice if it would refresh itself every 2min or so. Would like to have the ability to upload, Manf, Model and Serial Numbers of equipment being worked on.",NA
"It would help if there was more consistency with SI desktop, iMFM, and VAWS. The way you see the same data is so different between each application. ",NA
maybe add in some more problem code or equipment group categories to list,NA
Problem code improvements. Many times the customer will not find an accurate problem code. ,NA
Provide current accurate data that is easily available. ,NA
"Some features ideally would be dataloadable that are currently not. Attaching documents to equipment tags, or the details of contact IDs for example.",NA
"Sometimes when I sue the Chinese vision, The  WO completed time will in the future time.Not the input time.   And I want to create the PO from si7, if I use the Chinese description , sometimes will no PO create  in Mybuy.",NA
the job waranty,NA
"The way we have to enter the financial data in order to create the desired outcome is very devious, unlogical and time consuming. ",NA
"Users feel that a lot of data entry is required, but that it does not appear to have purpose.  ",NA
More client customization,NA
•  A lot of repetitive manual data input flowing from one report form to the next. ,NA
"Avoid tools that create duplication, i.e. tools that are compatible with client platforms, for example MS Project. Currently we find duplication of tasks, firstly in client platforms as they prefer to manage this way and then replicating the same in Kahua.",NA
Our team does a lot of the tracking on SmartSheets and than transfers information into Kahua weekly. ,NA
"using this tool, as it is now, makes a greater risk of fails in the project, as we have to type the same info in various other places. ",NA
"Quantum is a very encompassing package however this system along with the CERM processes are overkill for the proportion of critical cover we provide to our client ""Clarks"" in the Local Services division. There are some useful features however we are obliged to follow numerous processes that do not deliver any value for us or our client and actually use up valuable time. We would benefit from a ""lite"" version of Qauntum for this account and all other accounts in a similar position.",NA
" Too many similar forms that are used for reporting the same things, but only separated and differentiated due to reporting lines.",NA
A system where a spreadsheet can be uploaded and edited would streamline reporting and prevent double handling of data.,NA
"When we call for check-in as a vendor, we do not have enough time to input the numbers, we have to repeat several times until is ok, same for check-out",NA
Best recommendation is to find a tool that accomodates accounting processes and provides a viable PJM recording tool so the work is not manual by record which is currently the state,NA
"I've used KAHUA in the past.  The program seemed like a good idea, in theory, but caused quite a bit of doubling-up on work tasks. ",NA
Less duplication of information entered ,NA
"Power BI, Kahua, Salesforce and tracker seem to have overlapping or duplicated efforts. ",NA
